pid,year,obs,population,population_density,pre_season_rate,last_post_rate,last_high_rate,sus_pct,mean_temp_grid,total_rain_grid,Jan_temp_grid,Feb_temp_grid,Mar_temp_grid,Jan_rain_grid,Feb_rain_grid,Mar_rain_grid,max_humid_ncdc,min_humid_ncdc,Jan_humid_ncdc,Feb_humid_ncdc,Mar_humid_ncdc,max_temp_ncdc,min_temp_ncdc,Jan_temp_ncdc,Feb_temp_ncdc,Mar_temp_ncdc
TH38,2013,520,1545727,2485.09163987138,10.6680075287595,8.28978928986403,15.9680367468692,248.24883027192,29.4619974772135,178.638391733169,29.3933349609375,30.3933247884115,31.2366678873698,13.114274263382,31.6580410003662,96.3024876117705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH38,2014,186,1623489,2610.11093247588,2.78186251517894,6.14597532423255,27.4951527663035,NA,27.6893351236979,128.313969490118,27.8033386230469,29.9033345540365,31.1,11.7873760461807,35.8800168037416,75.3565578460692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2000,241,677649,444.06880733945,3.53380778543948,5.37753358653834,66.8350602898337,93.785877178586,27.5330032348633,315.747568145394,27.6149993896485,29.4875045776367,29.5800033569336,36.7223559617997,37.7166374921798,224.600672721863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2001,1781,724764,474.943643512451,54.8956760800946,10.6249695638893,24.9391646707956,88.0922062840053,28.7345001220704,225.480092450976,28.4600006103516,28.5325027465821,31.4999938964844,8.14050775766371,140.80756187439,52.9952894449234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2002,483,775154,507.964613368283,16.0052099717977,12.693787219012,233.041376227296,-97.901765472289,28.6375015258789,161.050730749965,28.8275009155274,29.7750030517578,31.2200027465821,20.3770315647125,50.0150933265687,80.3950896263124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2003,803,829047,543.281127129751,15.8678146536043,5.93430466720161,56.3758943384153,-85.6199688167308,28.8880004882813,219.640869104303,28.7474990844727,29.4649978637696,31.2800003051758,30.7186495661736,99.1093711853028,51.8159705400468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2004,342,886688,581.05373525557,13.3888669761787,11.8208014744641,85.0373983622159,65.8733377885164,28.5054992675781,164.064725540578,27.4699951171875,30.1749969482422,31.7675033569336,54.9566955566405,11.687056094408,60.1101274490356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2005,292,948336,621.452162516383,8.79678082933343,6.54119600129922,32.0293045580858,96.6840700590192,28.646501159668,157.829917477444,29.5199981689453,29.7150054931641,31.1124969482422,3.7575338333845,33.7446742057802,107.745706558228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2006,479,1014270,664.659239842726,4.21791432572422,3.37433146057937,27.4164431172074,171.922447968367,28.7154998779297,234.492843180895,29.0700012207031,30.3375030517578,30.6974960327149,38.5001591444015,71.7664890289306,103.925754547119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2007,378,1084788,710.870249017038,1.08452384473562,5.32402614688397,41.9020576375127,170.979121727953,28.6449981689453,213.077376574278,28.0824905395508,30.6100021362305,30.85,10.0879763364792,35.2222080230712,157.323456764221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TH39,2008,570,1160209,760.294233289646,10.5089658071439,8.38873586359731,26.4567823390377,160.633326621685,28.5610015869141,247.18457312882,27.6599975585938,29.6124969482422,30.2275024414063,44.8336527347565,28.9286702871323,158.019479751587,NA,NA,86.841935483871,87.5103448275862,88.7838709677419,NA,NA,32,31.8965517241379,34.2516129032258
TH39,2009,302,1240874,813.154652686763,6.1195870743978,4.82671656572221,44.3023627639503,153.695267846747,27.7469985961914,248.247076805681,28.8099990844727,29.6625,30.297494506836,13.8837090432644,73.3762187957764,160.46194601059,NA,NA,80.9967741935484,90.5714285714286,90.9612903225807,NA,NA,29.758064516129,33.775,34.0096774193548
TH39,2010,383,1327147,869.69003931848,8.46177774697512,5.72177352414508,18.6159110433453,166.250289542061,29.1210006713867,173.567620009184,29.2875,30.1124969482422,31.5950027465821,25.3263967633247,29.2072305679322,72.7597754001619,NA,NA,89.8032258064516,93.9857142857143,NA,NA,NA,31.041935483871,33.4035714285714,NA
